feature,importance
grade_num,0.14948232
risky_purpose,0.117915116
int_rate,0.10872307
has_pub_rec,0.09617155
pub_rec,0.07883602
int_rate_grade,0.07285698
home_num,0.05399185
purpose_num,0.0532937
term_num,0.051433403
has_delinq,0.03277785
payment_to_inc,0.023077723
emp_length,0.01841837
revol_util,0.017055083
credit_hist_yrs,0.015729874
loan_to_inc,0.0130249625
dti,0.011647604
high_dti,0.011245375
delinq_2yrs,0.011205194
util_dti_ratio,0.010881068
high_util,0.009390775
credit_per_acc,0.00825276
delinq_pub_total,0.007727655
open_acc,0.0043612206
installment,0.003978659
log_installment,0.0034928177
log_loan,0.0032157293
annual_inc,0.0031640285
loan_amount,0.0028927354
inc_per_acc,0.0028838168
log_income,0.002872682
