feature,mean_shap
int_rate,1.0503291
grade_num,0.41845202
dti,0.34990588
int_rate_grade,0.3425624
util_dti_ratio,0.33735433
delinq_pub_total,0.2434512
risky_purpose,0.15600093
has_delinq,0.13875331
purpose_num,0.13273162
payment_to_inc,0.1226374
revol_util,0.11456068
credit_hist_yrs,0.106377475
has_pub_rec,0.08710868
home_num,0.08493378
term_num,0.07813662
emp_length,0.060323685
loan_to_inc,0.039005086
credit_per_acc,0.03002255
installment,0.029473893
high_dti,0.02223045
pub_rec,0.021748671
open_acc,0.01995042
high_util,0.019728126
delinq_2yrs,0.013928707
inc_per_acc,0.013761611
log_installment,0.0127471285
annual_inc,0.0077492795
loan_amount,0.0053794445
log_loan,0.0027901544
log_income,0.0022567257
